symbol,name,price,pct_change,market_cap,security_type,last_close,last_volume,avg_volume_20d,volume_ratio,day_change_pct,score,reasons,float_shares
SAFX,"XCF Global, Inc. Class A Common Stock",0.4269,-1.885,141971352.0,Common,0.4269999861717224,13169100.0,3892310.0,3.383363606701419,-1.839084176693378,73.8,"['SEC filing: business combination agreement, definitive merger agreement, reverse merger (S-4/A, 2026-07-14)', 'Volume 3.4x 20d avg']",54154638.0
LBGJ,Li Bang International Corporation Class A Ordinary Shares,0.0345,-42.404,115865.0,Common,0.03500000014901161,138009200.0,13540695.0,10.192179943496253,-41.66666511446234,65.0,"['Volume 10.2x 20d avg', 'Day change -41.7%', 'Very low float (0.2M sh)', 'Micro-cap (<$50M)']",178863.0
WETO,Wetour Robotics Limited Ordinary Shares,0.1401,-82.488,11499408.0,Common,0.14000000059604645,67957800.0,210275.0,323.1853525145643,-82.50000018626451,58.0,"['Volume 323.2x 20d avg', 'Day change -82.5%', 'Low float (17.6M sh)', 'Micro-cap (<$50M)']",17626840.0
ZBAO,Zhibao Technology Inc. Class A Ordinary Shares,0.262,44.751,8924163.0,Common,0.2619999945163727,492033500.0,21074060.0,23.347826664629405,44.75138276194102,58.0,"['Volume 23.3x 20d avg', 'Day change +44.8%', 'Low float (9.1M sh)', 'Micro-cap (<$50M)']",9131856.0
SNTI,"Senti Biosciences Holdings, Inc. Common Stock",0.4405,-4.322,13719264.0,Common,0.4410000145435333,95800.0,385915.0,0.2482411930088232,-4.130433360097114,58.0,"['SEC filing: reverse merger (PREM14A, 2026-07-21)', 'Low float (12.4M sh)', 'Micro-cap (<$50M)']",12448558.0
VRME,"VerifyMe, Inc. Common Stock",0.64,1.555,8396202.0,Common,0.6399999856948853,35400.0,40690.0,0.8699926271811256,1.5550550354572903,58.0,"['SEC filing: definitive merger agreement, reverse merger (S-4/A, 2026-06-30)', 'Low float (10.3M sh)', 'Micro-cap (<$50M)']",10329821.0
SGRP,"SPAR Group, Inc. Common Stock",0.2875,-43.639,8324000.0,Common,0.28999999165534973,3968300.0,173220.0,22.90901743447639,-43.13725547486204,58.0,"['Volume 22.9x 20d avg', 'Day change -43.1%', 'Low float (8.5M sh)', 'Micro-cap (<$50M)']",8451885.0
ATER,"Aterian, Inc. Common Stock",0.6409,-37.777,6972614.0,Common,0.640999972820282,861200.0,179870.0,4.787902373936732,-37.76699120142829,56.9,"['Volume 4.8x 20d avg', 'Day change -37.8%', 'Low float (6.5M sh)', 'Micro-cap (<$50M)']",6547836.0
CHAI,"Core AI Holdings, Inc. Common Shares",0.5,28.041,9961212.0,Common,0.5,109794100.0,3232410.0,33.96663789556399,27.87723699393504,51.9,"['Volume 34.0x 20d avg', 'Day change +27.9%', 'Low float (5.4M sh)', 'Micro-cap (<$50M)']",5368290.0
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,0.5568,-13.755,10107281.0,Common,0.5600000023841858,61768000.0,1839190.0,33.584349632175034,-13.84615031925166,51.9,"['Volume 33.6x 20d avg', 'Day change -13.8%', 'Very low float (4.4M sh)', 'Micro-cap (<$50M)']",4399425.0
